"Name","Type_1","Type_2","Total","HP","Attack","Defense","Sp_Atk","Sp_Def","Speed","Generation","isLegendary","Color","hasGender","Pr_Male","Egg_Group_1","Egg_Group_2","hasMegaEvolution","Height_m","Weight_kg","Catch_Rate","Body_Style","Cluster"
"Spearow","Normal","Flying",0.23666666666666666,0.3355704697986577,0.40937500000000004,0.2551724137931034,0.23500000000000001,0.17615384615384616,0.503448275862069,0.1,"False","Brown","True",0.55,"Flying",,"False",0.3,2.0,255,"two_wings","cluster_1"
"Fearow","Normal","Flying",0.5366666666666666,0.4865771812080537,0.5781250000000001,0.4724137931034482,0.4278571428571428,0.38384615384615384,0.6896551724137931,0.1,"False","Brown","True",0.55,"Flying",,"False",1.19,38.0,90,"two_wings","cluster_2"
"Ekans","Poison",,0.28,0.3053691275167785,0.40937500000000004,0.3420689655172414,0.2928571428571428,0.3353846153846154,0.41034482758620683,0.1,"False","Purple","True",0.55,"Field","Dragon","False",2.01,6.9,255,"serpentine_body","cluster_1"
"Arbok","Poison",,0.53,0.4563758389261745,0.55,0.49724137931034484,0.4535714285714286,0.5084615384615385,0.5655172413793104,0.1,"False","Purple","True",0.55,"Field","Dragon","False",3.51,65.0,90,"serpentine_body","cluster_2"
"Pikachu","Electric",,0.33333333333333326,0.3053691275167785,0.38125000000000003,0.3172413793103448,0.3571428571428571,0.3076923076923077,0.6275862068965518,0.1,"False","Yellow","True",0.55,"Field","Fairy","False",0.41,6.0,190,"quadruped","cluster_1"
"Raichu","Electric",,0.6083333333333333,0.4563758389261745,0.5781250000000001,0.41034482758620683,0.6142857142857142,0.5153846153846154,0.7517241379310344,0.1,"False","Yellow","True",0.55,"Field","Fairy","False",0.79,30.0,75,"bipedal_tailed","cluster_2"
"Sandshrew","Ground",,0.29999999999999993,0.3959731543624161,0.4937500000000001,0.596551724137931,0.16428571428571428,0.16923076923076924,0.3172413793103448,0.1,"False","Yellow","True",0.55,"Field",,"False",0.61,12.0,255,"bipedal_tailed","cluster_1"
"Sandslash","Ground",,0.5499999999999999,0.546979865771812,0.6343750000000001,0.7517241379310344,0.32499999999999996,0.3423076923076923,0.4724137931034482,0.1,"False","Yellow","True",0.55,"Field",,"False",0.99,29.5,90,"bipedal_tailed","cluster_2"
"Nidoran♀","Poison",,0.2583333333333333,0.4261744966442953,0.33625000000000005,0.39172413793103444,0.2928571428571428,0.23846153846153847,0.3234482758620689,0.1,"False","Blue","True",0.1,"Monster","Field","False",0.41,7.0,235,"quadruped","cluster_1"
"Nidorina","Poison",,0.4083333333333333,0.5167785234899329,0.4206250000000001,0.4848275862068966,0.38928571428571435,0.3423076923076923,0.41655172413793107,0.1,"False","Blue","True",0.1,"Undiscovered",,"False",0.79,20.0,120,"quadruped","cluster_2"
"Nidoqueen","Poison","Ground",0.6416666666666666,0.6375838926174496,0.5893750000000001,0.6089655172413793,0.5178571428571429,0.55,0.5406896551724137,0.1,"False","Blue","True",0.1,"Undiscovered",,"False",1.3,60.0,45,"bipedal_tailed","cluster_2"
"Nidoran♂","Poison",,0.255,0.3718120805369127,0.39250000000000007,0.3172413793103448,0.2928571428571428,0.23846153846153847,0.3793103448275862,0.1,"False","Purple","True",1.0,"Monster","Field","False",0.51,9.0,235,"quadruped","cluster_1"
"Nidorino","Poison",,0.4083333333333333,0.46241610738255035,0.47687500000000005,0.4227586206896552,0.38928571428571435,0.3423076923076923,0.4724137931034482,0.1,"False","Purple","True",1.0,"Monster","Field","False",0.89,19.5,120,"quadruped","cluster_2"
"Nidoking","Poison","Ground",0.6416666666666666,0.5832214765100671,0.6456250000000001,0.5468965517241379,0.5821428571428571,0.48076923076923084,0.596551724137931,0.1,"False","Purple","True",1.0,"Monster","Field","False",1.4,62.0,45,"bipedal_tailed","cluster_2"
"Clefairy","Fairy",,0.33833333333333326,0.5167785234899329,0.32500000000000007,0.36689655172413793,0.4214285714285715,0.4115384615384615,0.28620689655172415,0.1,"False","Pink","True",0.325,"Fairy",,"False",0.61,7.5,150,"bipedal_tailed","cluster_2"
"Clefable","Fairy",,0.605,0.6677852348993288,0.46562500000000007,0.5220689655172414,0.6464285714285714,0.5846153846153846,0.4413793103448276,0.1,"False","Pink","True",0.325,"Fairy",,"False",1.3,40.0,25,"bipedal_tailed","cluster_2"
"Vulpix","Fire",,0.29833333333333334,0.323489932885906,0.30250000000000005,0.3172413793103448,0.3571428571428571,0.4115384615384615,0.4724137931034482,0.1,"False","Brown","True",0.325,"Field",,"False",0.61,9.9,190,"quadruped","cluster_1"
"Ninetales","Fire",,0.6416666666666666,0.5348993288590604,0.49937500000000007,0.5344827586206896,0.5564285714285714,0.6538461538461539,0.6896551724137931,0.1,"False","Yellow","True",0.325,"Field",,"False",1.09,19.9,75,"quadruped","cluster_2"
"Jigglypuff","Normal","Fairy",0.24999999999999997,0.7885906040268456,0.32500000000000007,0.19310344827586207,0.32499999999999996,0.1346153846153846,0.19310344827586207,0.1,"False","Pink","True",0.325,"Fairy",,"False",0.51,5.5,170,"bipedal_tailless","cluster_1"
"Wigglytuff","Normal","Fairy",0.525,0.9395973154362416,0.46562500000000007,0.34827586206896555,0.5821428571428571,0.3076923076923077,0.34827586206896555,0.1,"False","Pink","True",0.325,"Fairy",,"False",0.99,12.0,50,"bipedal_tailless","cluster_2"
"Zubat","Poison","Flying",0.20833333333333334,0.3355704697986577,0.32500000000000007,0.28620689655172415,0.2285714285714286,0.23846153846153847,0.41034482758620683,0.1,"False","Purple","True",0.55,"Flying",,"False",0.79,7.5,255,"two_wings","cluster_1"
"Golbat","Poison","Flying",0.5583333333333333,0.546979865771812,0.5218750000000001,0.503448275862069,0.4535714285714286,0.48076923076923084,0.6275862068965518,0.1,"False","Purple","True",0.55,"Flying",,"False",1.6,55.0,90,"two_wings","cluster_2"
"Oddish","Grass","Poison",0.33333333333333326,0.3657718120805369,0.3531250000000001,0.41034482758620683,0.5178571428571429,0.4115384615384615,0.2551724137931034,0.1,"False","Blue","True",0.55,"Grass",,"False",0.51,5.4,255,"head_legs","cluster_1"
"Gloom","Grass","Poison",0.45833333333333326,0.4563758389261745,0.43750000000000006,0.503448275862069,0.5821428571428571,0.48076923076923084,0.3172413793103448,0.1,"False","Blue","True",0.55,"Grass",,"False",0.79,8.6,120,"bipedal_tailless","cluster_2"
"Vileplume","Grass","Poison",0.6166666666666667,0.546979865771812,0.5218750000000001,0.596551724137931,0.7428571428571429,0.5846153846153846,0.3793103448275862,0.1,"False","Red","True",0.55,"Grass",,"False",1.19,18.6,45,"bipedal_tailless","cluster_2"
"Paras","Bug","Grass",0.275,0.3053691275167785,0.46562500000000007,0.41034482758620683,0.32499999999999996,0.3423076923076923,0.22413793103448276,0.1,"False","Red","True",0.55,"Bug","Grass","False",0.3,5.4,190,"insectoid","cluster_1"
"Parasect","Bug","Grass",0.475,0.4563758389261745,0.6062500000000001,0.5655172413793104,0.4214285714285715,0.5153846153846154,0.2551724137931034,0.1,"False","Red","True",0.55,"Bug","Grass","False",0.99,29.5,75,"insectoid","cluster_2"
"Venonat","Bug","Poison",0.30833333333333335,0.4563758389261745,0.38125000000000003,0.3793103448275862,0.2928571428571428,0.3423076923076923,0.34827586206896555,0.1,"False","Purple","True",0.55,"Bug",,"False",0.99,30.0,190,"bipedal_tailless","cluster_1"
"Venomoth","Bug","Poison",0.5499999999999999,0.5167785234899329,0.43750000000000006,0.4413793103448276,0.6142857142857142,0.48076923076923084,0.6275862068965518,0.1,"False","Purple","True",0.55,"Bug",,"False",1.5,12.5,75,"four_wings","cluster_2"
"Diglett","Ground",,0.24166666666666667,0.15436241610738255,0.38125000000000003,0.22413793103448276,0.26071428571428573,0.2730769230769231,0.6586206896551724,0.1,"False","Brown","True",0.55,"Field",,"False",0.2,0.8,255,"head_base","cluster_1"
"Dugtrio","Ground",,0.475,0.3053691275167785,0.5218750000000001,0.3793103448275862,0.3571428571428571,0.4461538461538461,0.8137931034482758,0.1,"False","Brown","True",0.55,"Field",,"False",0.71,33.3,50,"multiple_bodies","cluster_2"
"Meowth","Normal",,0.2833333333333333,0.3355704697986577,0.32500000000000007,0.28620689655172415,0.2928571428571428,0.23846153846153847,0.6275862068965518,0.1,"False","Yellow","True",0.55,"Field",,"False",0.41,4.2,255,"quadruped","cluster_1"
"Persian","Normal",,0.5333333333333333,0.4865771812080537,0.46562500000000007,0.4413793103448276,0.4535714285714286,0.4115384615384615,0.7827586206896552,0.1,"False","Yellow","True",0.55,"Field",,"False",0.99,32.0,90,"quadruped","cluster_2"
"Psyduck","Water",,0.33333333333333326,0.3959731543624161,0.36437500000000006,0.36689655172413793,0.4535714285714286,0.3076923076923077,0.41034482758620683,0.1,"False","Yellow","True",0.55,"Water_1","Field","False",0.79,19.6,190,"bipedal_tailed","cluster_1"
"Golduck","Water",,0.6333333333333333,0.5771812080536912,0.5331250000000001,0.553103448275862,0.6464285714285714,0.5153846153846154,0.596551724137931,0.1,"False","Blue","True",0.55,"Water_1","Field","False",1.7,76.6,75,"bipedal_tailed","cluster_2"
"Mankey","Fighting",,0.30833333333333335,0.3355704697986577,0.5218750000000001,0.28620689655172415,0.26071428571428573,0.2730769230769231,0.503448275862069,0.1,"False","Brown","True",0.55,"Field",,"False",0.51,28.0,190,"bipedal_tailed","cluster_1"
"Primeape","Fighting",,0.5583333333333333,0.4865771812080537,0.6625000000000001,0.4413793103448276,0.4214285714285715,0.4461538461538461,0.6586206896551724,0.1,"False","Brown","True",0.55,"Field",,"False",0.99,32.0,75,"bipedal_tailed","cluster_2"
"Growlithe","Fire",,0.3833333333333333,0.4261744966442953,0.46562500000000007,0.34827586206896555,0.48571428571428577,0.3076923076923077,0.4413793103448276,0.1,"False","Brown","True",0.775,"Field",,"False",0.71,19.0,190,"quadruped","cluster_1"
"Arcanine","Fire",,0.725,0.6375838926174496,0.690625,0.5655172413793104,0.6785714285714285,0.5153846153846154,0.6586206896551724,0.1,"False","Brown","True",0.775,"Field",,"False",1.91,155.0,75,"quadruped","cluster_2"
"Poliwag","Water",,0.29999999999999993,0.3355704697986577,0.3531250000000001,0.3172413793103448,0.2928571428571428,0.23846153846153847,0.6275862068965518,0.1,"False","Blue","True",0.55,"Water_1",,"False",0.61,12.4,255,"head_legs","cluster_1"
"Poliwhirl","Water",,0.44166666666666665,0.4865771812080537,0.43750000000000006,0.4724137931034482,0.3571428571428571,0.3076923076923077,0.6275862068965518,0.1,"False","Blue","True",0.55,"Water_1",,"False",0.99,20.0,120,"bipedal_tailless","cluster_2"
"Poliwrath","Water","Fighting",0.65,0.6375838926174496,0.6062500000000001,0.6586206896551724,0.48571428571428577,0.5846153846153846,0.503448275862069,0.1,"False","Blue","True",0.55,"Water_1",,"False",1.3,54.0,45,"bipedal_tailless","cluster_2"
"Abra","Psychic",,0.31666666666666665,0.24496644295302014,0.184375,0.16206896551724137,0.7107142857142856,0.3423076923076923,0.6275862068965518,0.1,"False","Brown","True",0.775,"Human-Like",,"False",0.89,19.5,200,"bipedal_tailed","cluster_1"
"Kadabra","Psychic",,0.4666666666666667,0.3355704697986577,0.26875000000000004,0.2551724137931034,0.8071428571428572,0.4461538461538461,0.7206896551724138,0.1,"False","Brown","True",0.775,"Human-Like",,"False",1.3,56.5,100,"bipedal_tailed","cluster_2"
"Alakazam","Psychic",,0.6333333333333333,0.4261744966442953,0.3531250000000001,0.34827586206896555,0.9035714285714286,0.6192307692307693,0.8137931034482758,0.1,"False","Brown","True",0.775,"Human-Like",,"True",1.5,48.0,50,"bipedal_tailless","cluster_2"
"Machop","Fighting",,0.30833333333333335,0.5167785234899329,0.5218750000000001,0.3793103448275862,0.26071428571428573,0.20384615384615384,0.28620689655172415,0.1,"False","Grey","True",0.775,"Human-Like",,"False",0.79,19.5,180,"bipedal_tailed","cluster_1"
"Machoke","Fighting",,0.475,0.5771812080536912,0.6343750000000001,0.503448275862069,0.3571428571428571,0.3769230769230769,0.34827586206896555,0.1,"False","Grey","True",0.775,"Human-Like",,"False",1.5,70.5,90,"bipedal_tailless","cluster_2"
"Machamp","Fighting",,0.6416666666666666,0.6375838926174496,0.8031250000000001,0.5655172413793104,0.4535714285714286,0.55,0.41034482758620683,0.1,"False","Grey","True",0.775,"Human-Like",,"False",1.6,130.0,45,"bipedal_tailless","cluster_2"
"Bellsprout","Grass","Poison",0.29999999999999993,0.3959731543624161,0.4937500000000001,0.28620689655172415,0.48571428571428577,0.16923076923076924,0.3172413793103448,0.1,"False","Green","True",0.55,"Grass",,"False",0.71,4.0,255,"bipedal_tailless","cluster_1"
"Weepinbell","Grass","Poison",0.44999999999999996,0.4865771812080537,0.5781250000000001,0.3793103448275862,0.5821428571428571,0.2730769230769231,0.41034482758620683,0.1,"False","Green","True",0.55,"Grass",,"False",0.99,6.4,120,"head_base","cluster_2"
"Victreebel","Grass","Poison",0.6166666666666667,0.5771812080536912,0.6625000000000001,0.4724137931034482,0.6785714285714285,0.4461538461538461,0.503448275862069,0.1,"False","Green","True",0.55,"Grass",,"False",1.7,15.5,45,"head_base","cluster_2"
"Tentacool","Water","Poison",0.3583333333333333,0.3355704697986577,0.29687500000000006,0.28620689655172415,0.3571428571428571,0.6538461538461539,0.503448275862069,0.1,"False","Blue","True",0.55,"Water_3",,"False",0.89,45.5,190,"several_limbs","cluster_1"
"Tentacruel","Water","Poison",0.6583333333333333,0.5771812080536912,0.46562500000000007,0.4724137931034482,0.5499999999999999,0.7923076923076924,0.6896551724137931,0.1,"False","Blue","True",0.55,"Water_3",,"False",1.6,55.0,60,"several_limbs","cluster_2"
"Geodude","Rock","Ground",0.29999999999999993,0.3355704697986577,0.5218750000000001,0.6896551724137931,0.2285714285714286,0.16923076923076924,0.19310344827586207,0.1,"False","Brown","True",0.55,"Mineral",,"False",0.41,20.0,255,"head_arms","cluster_1"
"Graveler","Rock","Ground",0.44999999999999996,0.4261744966442953,0.6062500000000001,0.7827586206896552,0.32499999999999996,0.2730769230769231,0.28620689655172415,0.1,"False","Brown","True",0.55,"Mineral",,"False",0.99,105.0,120,"bipedal_tailless","cluster_2"
"Golem","Rock","Ground",0.625,0.5771812080536912,0.7468750000000001,0.8758620689655172,0.38928571428571435,0.4115384615384615,0.34827586206896555,0.1,"False","Brown","True",0.55,"Mineral",,"False",1.4,300.0,45,"bipedal_tailless","cluster_2"
"Ponyta","Fire",,0.4833333333333333,0.3959731543624161,0.55,0.41034482758620683,0.4535714285714286,0.4115384615384615,0.6275862068965518,0.1,"False","Yellow","True",0.55,"Field",,"False",0.99,30.0,190,"quadruped","cluster_1"
"Rapidash","Fire",,0.6333333333333333,0.4865771812080537,0.6343750000000001,0.503448275862069,0.5499999999999999,0.5153846153846154,0.7206896551724138,0.1,"False","Yellow","True",0.55,"Field",,"False",1.7,95.0,60,"quadruped","cluster_2"
"Slowpoke","Water","Psychic",0.32499999999999996,0.6375838926174496,0.43750000000000006,0.4724137931034482,0.2928571428571428,0.23846153846153847,0.16206896551724137,0.1,"False","Pink","True",0.55,"Monster","Water_1","False",1.19,36.0,190,"quadruped","cluster_1"
"Slowbro","Water","Psychic",0.6166666666666667,0.6677852348993288,0.4937500000000001,0.7517241379310344,0.6785714285714285,0.5153846153846154,0.2551724137931034,0.1,"False","Pink","True",0.55,"Monster","Water_1","True",1.6,78.5,75,"bipedal_tailed","cluster_2"
"Magnemite","Electric","Steel",0.3416666666666667,0.24496644295302014,0.26875000000000004,0.503448275862069,0.6464285714285714,0.3423076923076923,0.34827586206896555,0.1,"False","Grey","False",,"Mineral",,"False",0.3,6.0,190,"head_arms","cluster_1"
"Magneton","Electric","Steel",0.575,0.3959731543624161,0.40937500000000004,0.6586206896551724,0.8071428571428572,0.4461538461538461,0.503448275862069,0.1,"False","Grey","False",,"Mineral",,"False",0.99,60.0,60,"multiple_bodies","cluster_2"
"Farfetch'd","Normal","Flying",0.3866666666666666,0.4080536912751678,0.43750000000000006,0.41034482758620683,0.4085714285714286,0.39076923076923076,0.4413793103448276,0.1,"False","Brown","True",0.55,"Flying","Field","False",0.79,15.0,45,"two_wings","cluster_2"
"Doduo","Normal","Flying",0.31666666666666665,0.3053691275167785,0.55,0.34827586206896555,0.26071428571428573,0.20384615384615384,0.5344827586206896,0.1,"False","Brown","True",0.55,"Flying",,"False",1.4,39.2,190,"head_legs","cluster_1"
"Dodrio","Normal","Flying",0.5666666666666667,0.4563758389261745,0.690625,0.503448275862069,0.4214285714285715,0.3769230769230769,0.6896551724137931,0.1,"False","Brown","True",0.55,"Flying",,"False",1.8,85.2,45,"head_legs","cluster_2"
"Seel","Water",,0.3416666666666667,0.4865771812080537,0.32500000000000007,0.41034482758620683,0.32499999999999996,0.4461538461538461,0.34827586206896555,0.1,"False","White","True",0.55,"Water_1","Field","False",1.09,90.0,190,"with_fins","cluster_1"
"Dewgong","Water","Ice",0.5916666666666667,0.6375838926174496,0.46562500000000007,0.5655172413793104,0.48571428571428577,0.6192307692307693,0.503448275862069,0.1,"False","White","True",0.55,"Water_1","Field","False",1.7,120.0,75,"with_fins","cluster_2"
"Grimer","Poison",,0.3416666666666667,0.5771812080536912,0.5218750000000001,0.3793103448275862,0.2928571428571428,0.3076923076923077,0.22413793103448276,0.1,"False","Purple","True",0.55,"Amorphous",,"False",0.89,30.0,190,"head_arms","cluster_1"
"Muk","Poison",,0.6333333333333333,0.7281879194630873,0.6625000000000001,0.5344827586206896,0.4535714285714286,0.6538461538461539,0.3793103448275862,0.1,"False","Purple","True",0.55,"Amorphous",,"False",1.19,30.0,75,"head_arms","cluster_2"
"Shellder","Water",,0.30833333333333335,0.2751677852348993,0.43750000000000006,0.6896551724137931,0.32499999999999996,0.1346153846153846,0.3172413793103448,0.1,"False","Purple","True",0.55,"Water_3",,"False",0.3,4.0,190,"head_only","cluster_1"
"Cloyster","Water","Ice",0.675,0.3959731543624161,0.6062500000000001,1,0.5821428571428571,0.2730769230769231,0.503448275862069,0.1,"False","Purple","True",0.55,"Water_3",,"False",1.5,132.5,60,"head_only","cluster_0"
"Gastly","Ghost","Poison",0.31666666666666665,0.2751677852348993,0.26875000000000004,0.2551724137931034,0.6785714285714285,0.20384615384615384,0.5655172413793104,0.1,"False","Purple","True",0.55,"Amorphous",,"False",1.3,0.1,190,"head_only","cluster_1"
"Haunter","Ghost","Poison",0.475,0.3657718120805369,0.3531250000000001,0.34827586206896555,0.775,0.3423076923076923,0.6586206896551724,0.1,"False","Purple","True",0.55,"Amorphous",,"False",1.6,0.1,90,"head_arms","cluster_2"
"Gengar","Ghost","Poison",0.6333333333333333,0.4563758389261745,0.43750000000000006,0.4413793103448276,0.8714285714285714,0.48076923076923084,0.7517241379310344,0.1,"False","Purple","True",0.55,"Amorphous",,"True",1.5,40.5,45,"bipedal_tailed","cluster_2"
"Onix","Rock","Ground",0.44166666666666665,0.3053691275167785,0.32500000000000007,1,0.2285714285714286,0.2730769230769231,0.503448275862069,0.1,"False","Grey","True",0.55,"Mineral",,"False",8.79,210.0,45,"serpentine_body","cluster_0"
"Drowzee","Psychic",,0.3466666666666667,0.4563758389261745,0.34187500000000004,0.34827586206896555,0.31214285714285717,0.5846153846153846,0.32965517241379305,0.1,"False","Yellow","True",0.55,"Human-Like",,"False",0.99,32.4,190,"bipedal_tailless","cluster_1"
"Hypno","Psychic",,0.605,0.6073825503355704,0.4825000000000001,0.503448275862069,0.505,0.7576923076923078,0.4848275862068966,0.1,"False","Yellow","True",0.55,"Human-Like",,"False",1.6,75.6,75,"bipedal_tailless","cluster_2"
"Krabby","Water",,0.3416666666666667,0.2751677852348993,0.6625000000000001,0.6275862068965518,0.19642857142857142,0.1346153846153846,0.3793103448275862,0.1,"False","Red","True",0.55,"Water_3",,"False",0.41,6.5,225,"insectoid","cluster_1"
"Kingler","Water",,0.5916666666666667,0.4261744966442953,0.8031250000000001,0.7827586206896552,0.3571428571428571,0.3076923076923077,0.5344827586206896,0.1,"False","Red","True",0.55,"Water_3",,"False",1.3,60.0,60,"insectoid","cluster_2"
"Voltorb","Electric",,0.35,0.3355704697986577,0.24062500000000003,0.3793103448275862,0.38928571428571435,0.3423076923076923,0.6896551724137931,0.1,"False","Red","False",,"Mineral",,"False",0.51,10.4,190,"head_only","cluster_1"
"Electrode","Electric",,0.6,0.4563758389261745,0.3531250000000001,0.503448275862069,0.5499999999999999,0.5153846153846154,0.9379310344827586,0.1,"False","Red","False",,"Mineral",,"False",1.19,66.6,60,"head_only","cluster_2"
"Exeggcute","Grass","Psychic",0.3416666666666667,0.4563758389261745,0.29687500000000006,0.5655172413793104,0.4214285714285715,0.2730769230769231,0.3172413793103448,0.1,"False","Pink","True",0.55,"Grass",,"False",0.41,2.5,90,"multiple_bodies","cluster_2"
"Exeggutor","Grass","Psychic",0.6666666666666666,0.6677852348993288,0.6062500000000001,0.596551724137931,0.8392857142857143,0.4115384615384615,0.41034482758620683,0.1,"False","Yellow","True",0.55,"Grass",,"False",2.01,120.0,45,"head_legs","cluster_2"
"Cubone","Ground",,0.33333333333333326,0.3959731543624161,0.3531250000000001,0.6586206896551724,0.2928571428571428,0.3076923076923077,0.28620689655172415,0.1,"False","Brown","True",0.55,"Monster",,"False",0.41,6.5,190,"bipedal_tailed","cluster_1"
"Marowak","Ground",,0.5083333333333333,0.4563758389261745,0.5218750000000001,0.7517241379310344,0.3571428571428571,0.5153846153846154,0.34827586206896555,0.1,"False","Brown","True",0.55,"Monster",,"False",0.99,45.0,75,"bipedal_tailed","cluster_2"
"Hitmonlee","Fighting",,0.5583333333333333,0.3959731543624161,0.7468750000000001,0.39793103448275857,0.26071428571428573,0.7230769230769232,0.6089655172413793,0.1,"False","Brown","True",1.0,"Human-Like",,"False",1.5,49.8,45,"bipedal_tailless","cluster_2"
"Hitmonchan","Fighting",,0.5583333333333333,0.3959731543624161,0.6625000000000001,0.5593103448275862,0.26071428571428573,0.7230769230769232,0.5406896551724137,0.1,"False","Brown","True",1.0,"Human-Like",,"False",1.4,50.2,45,"bipedal_tailless","cluster_2"
"Lickitung","Normal",,0.44166666666666665,0.6375838926174496,0.38125000000000003,0.5344827586206896,0.4214285714285715,0.48076923076923084,0.2551724137931034,0.1,"False","Pink","True",0.55,"Monster",,"False",1.19,65.5,45,"bipedal_tailed","cluster_2"
"Koffing","Poison",,0.3666666666666666,0.3355704697986577,0.43750000000000006,0.6586206896551724,0.4214285714285715,0.2730769230769231,0.28620689655172415,0.1,"False","Purple","True",0.55,"Amorphous",,"False",0.61,1.0,190,"head_only","cluster_1"
